id,churn_probability
0,0
1,0
2,0
4,0
5,0
7,0
9,0
15,0
17,0
20,0
21,0
23,0
24,0
27,0
28,0
29,0
30,0
31,0
33,0
35,0
37,0
38,0
39,0
41,0
42,0
44,0
45,0
47,0
48,0
49,0
50,0
52,0
54,0
55,0
56,0
58,0
59,0
61,0
62,0
63,0
64,0
65,0
67,0
68,0
69,0
72,0
75,0
77,0
81,0
83,0
85,0
86,0
88,0
93,0
94,0
96,0
97,0
99,0
100,0
101,0
102,0
103,0
105,0
106,0
107,0
111,0
112,0
113,0
114,0
117,0
120,0
122,0
127,0
128,0
129,0
130,0
131,0
132,0
134,0
139,0
140,0
141,0
142,0
143,0
145,0
149,0
152,0
153,0
154,0
157,0
163,0
164,0
166,0
169,0
170,0
174,0
177,0
179,0
183,0
184,0
189,0
192,0
197,0
198,0
200,0
202,0
204,0
208,0
209,0
210,0
212,0
213,0
214,0
215,0
217,0
219,0
227,0
230,0
232,0
233,0
234,0
236,0
237,0
239,0
240,0
242,0
247,0
250,0
251,0
254,0
257,0
258,0
261,0
263,0
264,0
269,0
270,0
272,0
273,0
274,0
275,0
276,0
280,0
281,0
284,0
287,0
288,0
289,0
290,0
292,0
294,0
295,0
297,0
301,0
302,0
304,0
306,0
307,0
309,0
310,0
311,0
312,0
315,0
316,0
317,0
319,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
336,0
338,0
340,0
342,0
347,0
352,0
353,0
355,0
358,0
362,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
372,0
374,0
375,0
376,0
377,0
378,0
381,0
386,0
388,0
394,0
395,0
398,0
399,0
400,0
402,0
403,0
404,0
408,0
412,0
414,0
415,0
416,0
417,0
419,0
422,0
425,0
428,0
430,0
433,0
434,0
435,0
436,0
437,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
447,0
448,0
449,0
451,0
452,0
453,0
454,0
457,0
458,0
460,0
462,0
463,0
465,0
466,0
469,0
470,0
473,0
476,0
478,0
480,0
484,0
491,0
492,0
493,0
494,0
497,0
498,0
499,0
500,0
502,0
505,0
506,0
507,0
508,0
510,0
511,0
513,0
514,0
515,0
517,0
522,0
523,0
524,0
527,0
529,0
530,0
531,0
535,0
536,0
540,0
541,0
542,0
543,0
544,0
549,0
554,0
555,0
556,0
557,0
562,0
564,0
565,0
566,0
567,0
572,0
575,0
577,0
582,0
583,0
584,0
587,0
589,0
591,0
592,0
594,0
595,0
596,0
598,0
600,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
613,0
616,0
618,0
619,0
620,0
625,0
627,0
628,0
629,0
630,0
632,0
633,0
635,0
636,0
637,0
639,0
640,0
643,0
644,0
648,0
650,0
652,0
658,0
659,0
660,0
661,0
663,0
664,0
667,0
668,0
669,0
671,0
672,0
675,0
677,0
679,0
680,0
681,0
682,0
683,0
686,0
689,0
691,0
697,0
700,0
701,0
702,0
704,0
706,0
707,0
710,0
713,0
716,0
717,0
719,0
720,0
723,0
724,0
726,0
727,0
731,0
732,0
735,0
737,0
738,0
739,0
741,0
742,0
743,0
744,0
746,0
747,0
748,0
752,0
754,0
763,0
764,0
766,0
767,0
769,0
771,0
772,0
775,0
776,0
778,0
782,0
787,0
793,0
794,0
795,0
797,0
801,0
802,0
806,0
807,0
810,0
813,0
814,0
815,0
818,0
819,0
820,0
823,0
824,0
826,0
827,0
829,0
831,0
833,0
834,0
836,0
837,0
840,0
843,0
844,0
846,0
848,0
849,0
851,0
858,0
859,0
862,0
863,0
865,0
866,0
869,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
884,0
886,0
887,0
888,0
889,0
890,0
892,0
893,0
898,0
899,0
900,0
901,0
903,0
904,0
905,0
909,0
910,0
913,0
916,0
918,0
919,0
920,0
921,0
922,0
925,0
926,0
930,0
931,0
932,0
933,0
934,0
936,0
940,0
941,0
942,0
945,0
949,0
950,0
953,0
954,0
956,0
957,0
959,0
963,0
968,0
973,0
974,0
975,0
976,0
978,0
982,0
983,0
985,0
987,0
990,0
991,0
992,0
994,0
995,0
997,0
1001,0
1002,0
1006,0
1008,0
1009,0
1011,0
1012,0
1014,0
1015,0
1016,0
1017,0
1019,0
1023,0
1025,0
1028,0
